naslov,leto,ocena_rotten_tomatoes,ocena_imdb
Modern Problems,1981,,5.1
Sharky&#39;s Machine,1981,86,6.4
Absence of Malice,1981,81,6.9
On Golden Pond,1981,93,7.6
Richard Pryor: Live on the Sunset Strip,1982,40,7.6
Raiders of the Lost Ark,1981,95,8.4
Porky&#39;s,1981,34,6.2
Conan the Barbarian,1982,66,6.9
Rocky III,1982,65,6.8
Star Trek II: The Wrath of Khan,1982,86,7.7
E.T. the Extra-Terrestrial,1982,99,7.8
The Best Little Whorehouse in Texas,1982,42,6.0
Friday the 13th Part III,1982,7,5.7
An Officer and a Gentleman,1982,78,7.0
Amityville II: The Possession,1982,16,5.5
First Blood,1982,85,7.7
Creepshow,1982,74,6.9
Pink Floyd: The Wall,1982,71,8.0
The Toy,1982,4,5.8
Tootsie,1982,90,7.4
High Road to China,1983,,6.1
Spring Break,1983,20,5.0
Lone Wolf McQuade,1983,57,6.4
Flashdance,1983,38,6.2
Blue Thunder,1983,78,6.4
Spacehunter: Adventures in the Forbidden Zone,1983,29,5.4
Return of the Jedi,1983,82,8.3
Superman III,1983,30,5.0
Staying Alive,1983,0,4.7
Jaws 3-D,1983,11,3.7
National Lampoon&#39;s Vacation,1983,93,7.4
Easy Money,1983,60,6.3
Mr. Mom,1983,75,6.6
The Big Chill,1983,69,7.2
Never Say Never Again,1983,70,6.2
Deal of the Century,1983,11,4.6
Amityville 3-D,1983,10,4.2
A Christmas Story,1983,90,7.9
Terms of Endearment,1983,78,7.4
Sudden Impact,1983,57,6.6
Silkwood,1983,76,7.2
Unfaithfully Yours,1984,33,6.0
Footloose,1984,52,6.6
Splash,1984,92,6.3
Police Academy,1984,55,6.7
Friday the 13th: The Final Chapter,1984,19,6.0
Breakin&#39;,1984,33,5.8
The Natural,1984,82,7.5
Indiana Jones and the Temple of Doom,1984,84,7.5
Star Trek III: The Search for Spock,1984,79,6.7
Ghostbusters,1984,97,7.8
Purple Rain,1984,70,6.5
Red Dawn,1984,48,6.4
Tightrope,1984,85,6.3
All of Me,1984,85,6.7
Teachers,1984,59,6.1
The Terminator,1984,100,8.0
"Oh, God! You Devil",1984,36,5.4
Missing in Action,1984,20,5.5
Supergirl,1984,9,4.4
Beverly Hills Cop,1984,83,7.3
Witness,1985,93,7.4
Friday the 13th: A New Beginning,1985,18,4.8
Police Academy 2: Their First Assignment,1985,29,5.8
Stick,1985,38,5.7
Code of Silence,1985,70,6.1
Rambo: First Blood Part II,1985,33,6.5
Cocoon,1985,74,6.7
Pale Rider,1985,93,7.3
Back to the Future,1985,96,8.5
National Lampoon&#39;s European Vacation,1985,34,6.2
Invasion U.S.A.,1985,19,5.5
Commando,1985,69,6.7
Jagged Edge,1985,81,6.5
Death Wish 3,1985,11,5.9
Once Bitten,1985,10,5.5
King Solomon&#39;s Mines,1985,8,5.2
Rocky IV,1985,38,6.9
Out of Africa,1985,62,7.2
Iron Eagle,1986,20,5.5
The Color Purple,1985,81,7.8
Down and Out in Beverly Hills,1986,79,6.2
Pretty in Pink,1986,73,6.8
Gung Ho,1986,33,6.3
Police Academy 3: Back in Training,1986,40,5.4
The Money Pit,1986,50,6.4
Legend,1985,40,6.4
"Jo Jo Dancer, Your Life Is Calling",1986,58,6.3
Short Circuit,1986,61,6.7
Top Gun,1986,59,6.9
Back to School,1986,86,6.7
"The Karate Kid, Part II",1986,44,6.1
Aliens,1986,97,8.3
The Fly,1986,93,7.6
Stand by Me,1986,91,8.1
Crocodile Dundee,1986,89,6.6
Star Trek IV: The Voyage Home,1986,82,7.3
The Golden Child,1986,22,6.0
Critical Condition,1987,,5.4
Platoon,1986,87,8.1
A Nightmare on Elm Street 3: Dream Warriors,1987,72,6.6
Lethal Weapon,1987,80,7.6
Blind Date,1987,21,6.0
Police Academy 4: Citizens on Patrol,1987,0,5.0
The Secret of My Success,1987,51,6.5
Ishtar,1987,37,4.5
Beverly Hills Cop II,1987,47,6.5
Predator,1987,81,7.8
The Witches of Eastwick,1987,77,6.6
Dragnet,1987,50,6.0
Revenge of the Nerds II: Nerds in Paradise,1987,7,5.1
Robocop,1987,90,7.6
The Living Daylights,1987,74,6.7
Stakeout,1987,89,6.6
Fatal Attraction,1987,76,6.9
The Running Man,1987,66,6.7
Three Men and a Baby,1987,76,6.1
Throw Momma From the Train,1987,63,6.3
Eddie Murphy Raw,1987,80,7.7
"Good Morning, Vietnam",1987,91,7.3
Police Academy 5: Assignment Miami Beach,1988,0,4.6
Biloxi Blues,1988,78,6.6
Beetlejuice,1988,85,7.5
Colors,1988,78,6.7
Friday the 13th Part VII: The New Blood,1988,32,5.3
Willow,1988,52,7.3
